MSZoning,LotFrontage,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,2ndFlrSF,GrLivArea,FullBath,KitchenQual,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,SaleType,SaleCondition
RH,80.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1Story,5,1961,1961,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,468.0,LwQ,882.0,GasA,TA,Y,SBrkr,0,896,1,TA,Typ,0,Gd,Attchd,Unf,1.0,TA,TA,Y,140,0,WD,Normal
RL,81.0,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,1958,1958,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,108.0,TA,TA,CBlock,TA,TA,No,ALQ,923.0,Unf,1329.0,GasA,TA,Y,SBrkr,0,1329,1,Gd,Typ,0,Gd,Attchd,Unf,1.0,TA,TA,Y,393,36,WD,Normal
RL,74.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,791.0,Unf,928.0,GasA,Gd,Y,SBrkr,701,1629,2,TA,Typ,1,TA,Attchd,Fin,2.0,TA,TA,Y,212,34,WD,Normal
RL,78.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,20.0,TA,TA,PConc,TA,TA,No,GLQ,602.0,Unf,926.0,GasA,Ex,Y,SBrkr,678,1604,2,Gd,Typ,1,Gd,Attchd,Fin,2.0,TA,TA,Y,360,36,WD,Normal
RL,43.0,Pave,IR1,HLS,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,1992,1992,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,PConc,Gd,TA,No,ALQ,263.0,Unf,1280.0,GasA,Ex,Y,SBrkr,0,1280,2,Gd,Typ,0,Gd,Attchd,RFn,2.0,TA,TA,Y,0,82,WD,Normal
RL,75.0,Pave,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,1993,1994,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,763.0,GasA,Gd,Y,SBrkr,892,1655,2,TA,Typ,1,TA,Attchd,Fin,2.0,TA,TA,Y,157,84,WD,Normal
RL,68.58035714285714,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,Gd,PConc,Gd,TA,No,ALQ,935.0,Unf,1168.0,GasA,Ex,Y,SBrkr,0,1187,2,TA,Typ,0,Gd,Attchd,Fin,2.0,TA,TA,Y,483,21,WD,Normal
RL,63.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,1998,1998,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,789.0,GasA,Gd,Y,SBrkr,676,1465,2,TA,Typ,1,Gd,Attchd,Fin,2.0,TA,TA,Y,0,75,WD,Normal
RL,85.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,1990,1990,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,PConc,Gd,TA,Gd,GLQ,637.0,Unf,1300.0,GasA,Gd,Y,SBrkr,0,1341,1,Gd,Typ,1,Po,Attchd,Unf,2.0,TA,TA,Y,192,0,WD,Normal
RL,70.0,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,1970,1970,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,804.0,Rec,882.0,GasA,TA,Y,SBrkr,0,882,1,TA,Typ,0,Gd,Attchd,Fin,2.0,TA,TA,Y,240,0,WD,Normal
